scenario_key,scenario,model_raw,model,method,variant_label,turn,valid_rows,composite_mean,composite_variance,composite_std
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT,2,297,2.2424545454545455,2.601689439853076,1.612975337645643
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT,3,298,2.3657114093959732,3.0436928764470066,1.74461826095195
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT,4,299,2.290866220735786,2.6682976409659847,1.633492467373506
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT,5,298,2.224939597315436,3.563479654069637,1.8877181076817686
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT,0,297,2.0134040404040405,2.026731149882665,1.4236330811984754
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT,1,299,1.9065016722408026,2.1850972399637585,1.4782074414518953
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT,2,300,2.0930000000000004,2.2979000000000003,1.5158825812047583
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT,3,298,2.073919463087248,2.216558423044007,1.4888110770154845
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT,4,298,2.1173557046979865,2.50615618891041,1.5830843909629106
dual,双智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT,5,299,2.1000367892976586,2.090106951823805,1.4457202190686154
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE+MULTIAGENT,0,299,2.103809364548495,2.5078844151631414,1.583630138372954
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE+MULTIAGENT,1,300,2.2135,2.68782225,1.639457913457982
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE+MULTIAGENT,2,297,2.272848484848485,3.0804290174471993,1.7551151009113901
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE+MULTIAGENT,3,297,2.222111111111111,2.9138078563411898,1.7069879485049653
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE+MULTIAGENT,4,299,2.257531772575251,3.307946436281473,1.8187760819522212
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,基线,BASE+MULTIAGENT,5,299,1.9534180602006685,2.6732892064965714,1.6350196348963433
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,0,300,1.89,2.3311089999999997,1.526796974060402
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,1,297,2.2561414141414144,2.937979313335374,1.714053474467869
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,2,296,2.4560608108108104,3.728042205761504,1.9308138713406593
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,3,298,2.519946308724832,3.8669270843655688,1.9664503767869579
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,4,300,2.22,3.505369,1.872263069122499
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,5,298,2.214597315436242,3.6382209787847395,1.9074121156123391
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,0,298,1.8424026845637587,2.2201605761001755,1.4900203274117354
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,1,298,1.916268456375839,2.667514021890906,1.6332525897395376
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,2,299,2.2574715719063545,3.616028770930974,1.9015858568392263
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,3,299,2.0734548494983276,2.8306957931119343,1.6824671744530215
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,4,296,2.0979054054054056,3.540289531592403,1.881565712802081
multi,多智能体辩论场景,Llama3.1系列8B,Llama-3.1-8B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,5,298,1.8927114093959732,2.7738002589973427,1.6654729835687347
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE,0,296,1.7262972972972974,2.2532143170197223,1.501071056619147
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE,1,296,1.9287635135135135,2.2816893021822495,1.5105261673278783
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE,2,298,2.040114093959732,2.407274221881897,1.5515393072306924
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE,3,299,2.0970167224080267,2.7240136284829033,1.6504586115631326
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE,4,299,1.943197324414716,2.4343833022001986,1.560251038198725
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE,5,299,2.1905819397993307,2.984129340275836,1.727463267417237
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT,0,296,1.7600135135135133,2.323963161979547,1.5244550377034893
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT,1,297,1.7236060606060608,2.2532561983471076,1.5010850070356134
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT,2,298,1.8829060402684563,2.7684171321111655,1.6638561031865602
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT,3,299,1.9633979933110368,3.1721534837417926,1.7810540372885357
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT,4,297,1.9395858585858587,2.8104621416182023,1.6764433010448645
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT,5,299,1.8294448160535113,2.3952941533092473,1.5476737877567246
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT,0,296,1.6117229729729732,2.014351592174945,1.419278546366056
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT,1,296,1.6996621621621621,2.1755829939737037,1.4749857606003198
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT,2,298,1.7950604026845638,2.1488018017206434,1.465879190697734
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT,3,297,1.798080808080808,1.9384094480155085,1.3922677357518232
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT,4,298,1.7283758389261745,2.0154512949867125,1.4196659096374444
dual,双智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT,5,298,1.8088791946308727,2.167732039097338,1.4723219889335817
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE+MULTIAGENT,0,297,1.6701212121212121,2.1679697428833795,1.472402710838098
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE+MULTIAGENT,1,300,1.7,2.5495000000000005,1.5967153785192902
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE+MULTIAGENT,2,299,2.387585284280936,5.247205426673079,2.2906779404082713
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE+MULTIAGENT,3,295,2.565932203389831,5.121325317437518,2.2630345373938767
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE+MULTIAGENT,4,297,2.612828282828283,6.057088465462708,2.4611152889417243
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,基线,BASE+MULTIAGENT,5,296,2.713222972972973,6.913772200283053,2.6294052940319133
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,0,297,1.656959595959596,1.894941250892766,1.3765686509915755
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,1,298,1.758570469798658,2.4647226611413897,1.5699435216406321
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,2,295,2.3458135593220337,4.368625372019535,2.0901256833069954
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,3,298,2.725020134228188,5.857408999594613,2.420208462012025
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,4,296,2.5471756756756756,5.14008113130022,2.2671747024215447
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,提示词缓偏,EMBER-PROMPT+MULTIAGENT,5,298,2.765020134228188,5.818301617044278,2.4121155894865978
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,0,298,1.466704697986577,1.8472137651457143,1.3591224246349976
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,1,299,1.7055986622073576,2.000442815516605,1.414370112635517
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,2,298,1.7111812080536912,2.481056148371695,1.5751368665521404
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,3,296,1.6418108108108107,2.114563531775018,1.454153888615307
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,4,300,1.6165,2.0171122500000003,1.4202507701106872
multi,多智能体辩论场景,Mistral系列7B,Mistral-7B,EMBER-Agent,EMBER-AGENT+MULTIAGENT,5,297,1.7276464646464647,2.4275056830935617,1.5580454688787364
