model,primary_dimension,dimension_name_zh,variant,round,valid_rows,mean,std,median,min,max
llama,religion,宗教信仰与民俗文化,BASE,3,16,2.688,2.243,2.500,0.000,6.000
llama,religion,宗教信仰与民俗文化,BASE,4,16,1.500,1.461,1.000,0.000,5.000
llama,religion,宗教信仰与民俗文化,BASE,5,16,1.438,2.097,0.500,0.000,6.000
llama,religion,宗教信仰与民俗文化,EMBER-AGENT,0,16,3.875,2.187,4.000,0.000,7.000
llama,religion,宗教信仰与民俗文化,EMBER-AGENT,1,16,2.125,2.187,2.000,0.000,6.000
llama,religion,宗教信仰与民俗文化,EMBER-AGENT,2,16,1.875,2.029,1.500,0.000,8.000
llama,religion,宗教信仰与民俗文化,EMBER-AGENT,3,16,0.750,0.931,0.500,0.000,3.000
llama,religion,宗教信仰与民俗文化,EMBER-AGENT,4,16,1.438,1.315,1.000,0.000,4.000
llama,religion,宗教信仰与民俗文化,EMBER-AGENT,5,16,1.562,1.413,1.000,0.000,5.000
llama,religion,宗教信仰与民俗文化,EMBER-PROMPT,0,14,3.214,2.082,3.000,0.000,6.000
llama,religion,宗教信仰与民俗文化,EMBER-PROMPT,1,16,2.312,2.056,2.000,0.000,7.000
llama,religion,宗教信仰与民俗文化,EMBER-PROMPT,2,16,1.938,1.982,2.000,0.000,6.000
llama,religion,宗教信仰与民俗文化,EMBER-PROMPT,3,16,2.250,1.983,2.000,0.000,7.000
llama,religion,宗教信仰与民俗文化,EMBER-PROMPT,4,16,1.938,1.914,1.500,0.000,6.000
llama,religion,宗教信仰与民俗文化,EMBER-PROMPT,5,16,2.125,2.277,2.000,0.000,7.000
qwen,age,年龄与代际关系,BASE,0,33,1.121,1.431,1.000,0.000,6.000
qwen,age,年龄与代际关系,BASE,1,33,1.455,1.371,1.000,0.000,5.000
qwen,age,年龄与代际关系,BASE,2,32,2.156,1.743,2.000,0.000,8.000
qwen,age,年龄与代际关系,BASE,3,32,1.875,1.755,1.500,0.000,7.000
qwen,age,年龄与代际关系,BASE,4,33,2.212,1.867,2.000,0.000,7.000
qwen,age,年龄与代际关系,BASE,5,33,2.273,1.908,2.000,0.000,9.000
qwen,age,年龄与代际关系,EMBER-AGENT,0,30,1.033,0.964,1.000,0.000,3.000
qwen,age,年龄与代际关系,EMBER-AGENT,1,33,1.455,1.148,1.000,0.000,4.000
qwen,age,年龄与代际关系,EMBER-AGENT,2,31,1.387,1.022,1.000,0.000,4.000
qwen,age,年龄与代际关系,EMBER-AGENT,3,32,1.781,1.539,1.500,0.000,6.000
qwen,age,年龄与代际关系,EMBER-AGENT,4,32,1.750,1.481,1.000,0.000,5.000
qwen,age,年龄与代际关系,EMBER-AGENT,5,32,1.312,1.061,1.000,0.000,4.000
qwen,age,年龄与代际关系,EMBER-PROMPT,0,32,1.094,1.174,1.000,0.000,5.000
qwen,age,年龄与代际关系,EMBER-PROMPT,1,31,1.065,1.340,1.000,0.000,5.000
qwen,age,年龄与代际关系,EMBER-PROMPT,2,32,1.531,1.295,1.000,0.000,4.000
qwen,age,年龄与代际关系,EMBER-PROMPT,3,33,2.455,2.476,2.000,0.000,10.000
qwen,age,年龄与代际关系,EMBER-PROMPT,4,33,2.000,1.677,2.000,0.000,7.000
qwen,age,年龄与代际关系,EMBER-PROMPT,5,32,1.938,1.564,2.000,0.000,6.000
qwen,ethnic_cultural,民族、地域与文化差异,BASE,0,33,1.394,1.456,1.000,0.000,5.000
qwen,ethnic_cultural,民族、地域与文化差异,BASE,1,33,1.697,1.468,1.000,0.000,6.000
qwen,ethnic_cultural,民族、地域与文化差异,BASE,2,32,2.156,1.298,2.000,0.000,5.000
qwen,ethnic_cultural,民族、地域与文化差异,BASE,3,32,2.625,1.809,2.500,0.000,7.000
qwen,ethnic_cultural,民族、地域与文化差异,BASE,4,33,2.303,1.944,2.000,0.000,7.000
qwen,ethnic_cultural,民族、地域与文化差异,BASE,5,32,1.906,1.532,2.000,0.000,7.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,0,33,1.455,1.394,1.000,0.000,5.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,1,33,1.636,1.141,1.000,0.000,4.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,2,32,1.531,1.077,1.000,0.000,4.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,3,32,1.719,1.170,2.000,0.000,5.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,4,32,1.781,1.211,2.000,0.000,5.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-AGENT,5,33,1.697,1.425,2.000,0.000,7.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,0,33,1.091,0.980,1.000,0.000,3.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,1,33,1.485,1.034,1.000,0.000,3.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,2,33,2.394,1.600,2.000,0.000,8.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,3,32,2.062,1.501,2.000,0.000,8.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,4,32,1.781,1.039,2.000,0.000,3.000
qwen,ethnic_cultural,民族、地域与文化差异,EMBER-PROMPT,5,32,1.812,1.595,1.500,0.000,6.000
qwen,gender,性别与婚育平等,BASE,0,34,0.765,1.046,0.000,0.000,4.000
qwen,gender,性别与婚育平等,BASE,1,33,1.091,1.100,1.000,0.000,4.000
qwen,gender,性别与婚育平等,BASE,2,34,1.471,1.440,1.000,0.000,6.000
qwen,gender,性别与婚育平等,BASE,3,34,2.324,2.026,2.000,0.000,7.000
qwen,gender,性别与婚育平等,BASE,4,32,1.969,1.675,1.500,0.000,7.000
qwen,gender,性别与婚育平等,BASE,5,33,2.333,1.865,2.000,0.000,6.000
qwen,gender,性别与婚育平等,EMBER-AGENT,0,34,1.118,1.149,1.000,0.000,5.000
qwen,gender,性别与婚育平等,EMBER-AGENT,1,34,1.147,1.077,1.000,0.000,4.000
qwen,gender,性别与婚育平等,EMBER-AGENT,2,34,1.529,1.331,1.000,0.000,4.000
qwen,gender,性别与婚育平等,EMBER-AGENT,3,34,0.971,1.029,1.000,0.000,4.000
qwen,gender,性别与婚育平等,EMBER-AGENT,4,34,1.882,1.981,1.000,0.000,8.000
qwen,gender,性别与婚育平等,EMBER-AGENT,5,34,1.147,1.105,1.000,0.000,4.000
qwen,gender,性别与婚育平等,EMBER-PROMPT,0,33,1.182,1.446,1.000,0.000,5.000
qwen,gender,性别与婚育平等,EMBER-PROMPT,1,34,1.618,1.371,1.000,0.000,4.000
qwen,gender,性别与婚育平等,EMBER-PROMPT,2,32,2.000,1.849,1.500,0.000,7.000
qwen,gender,性别与婚育平等,EMBER-PROMPT,3,34,1.500,1.462,1.000,0.000,5.000
qwen,gender,性别与婚育平等,EMBER-PROMPT,4,33,1.879,2.027,1.000,0.000,9.000
qwen,gender,性别与婚育平等,EMBER-PROMPT,5,34,1.441,1.501,1.000,0.000,5.000
qwen,political,政治与公共治理,BASE,0,33,2.030,1.185,2.000,0.000,4.000
qwen,political,政治与公共治理,BASE,1,33,2.848,1.523,3.000,0.000,8.000
qwen,political,政治与公共治理,BASE,2,34,3.235,1.742,3.000,0.000,7.000
qwen,political,政治与公共治理,BASE,3,33,2.939,1.499,3.000,0.000,7.000
qwen,political,政治与公共治理,BASE,4,31,2.710,1.216,3.000,0.000,6.000
qwen,political,政治与公共治理,BASE,5,33,3.303,1.828,3.000,0.000,8.000
qwen,political,政治与公共治理,EMBER-AGENT,0,32,2.094,0.856,2.000,0.000,3.000
qwen,political,政治与公共治理,EMBER-AGENT,1,32,2.000,1.078,2.000,0.000,4.000
qwen,political,政治与公共治理,EMBER-AGENT,2,33,3.000,1.436,3.000,1.000,8.000
qwen,political,政治与公共治理,EMBER-AGENT,3,34,2.735,1.163,3.000,0.000,6.000
qwen,political,政治与公共治理,EMBER-AGENT,4,33,2.970,1.447,3.000,1.000,8.000
qwen,political,政治与公共治理,EMBER-AGENT,5,32,2.625,1.070,3.000,1.000,5.000
qwen,political,政治与公共治理,EMBER-PROMPT,0,33,2.152,1.004,2.000,0.000,5.000
qwen,political,政治与公共治理,EMBER-PROMPT,1,33,2.091,1.011,2.000,0.000,4.000
qwen,political,政治与公共治理,EMBER-PROMPT,2,32,2.625,1.157,3.000,1.000,6.000
qwen,political,政治与公共治理,EMBER-PROMPT,3,34,2.618,1.436,2.000,1.000,8.000
qwen,political,政治与公共治理,EMBER-PROMPT,4,33,2.727,1.206,3.000,1.000,6.000
qwen,political,政治与公共治理,EMBER-PROMPT,5,31,2.387,1.283,2.000,0.000,7.000
qwen,religion,宗教信仰与民俗文化,BASE,0,15,1.933,1.438,2.000,0.000,5.000
qwen,religion,宗教信仰与民俗文化,BASE,1,15,1.933,1.624,2.000,0.000,5.000
qwen,religion,宗教信仰与民俗文化,BASE,2,16,2.750,2.145,3.000,0.000,7.000
qwen,religion,宗教信仰与民俗文化,BASE,3,16,3.000,2.000,2.500,0.000,7.000
qwen,religion,宗教信仰与民俗文化,BASE,4,16,2.625,1.857,2.000,0.000,6.000
qwen,religion,宗教信仰与民俗文化,BASE,5,15,2.200,2.007,2.000,0.000,6.000
qwen,religion,宗教信仰与民俗文化,EMBER-AGENT,0,16,2.312,1.740,2.000,0.000,5.000
qwen,religion,宗教信仰与民俗文化,EMBER-AGENT,1,16,1.812,1.905,1.000,0.000,6.000
qwen,religion,宗教信仰与民俗文化,EMBER-AGENT,2,16,2.312,1.662,2.000,0.000,5.000
qwen,religion,宗教信仰与民俗文化,EMBER-AGENT,3,15,2.200,1.568,2.000,0.000,4.000
qwen,religion,宗教信仰与民俗文化,EMBER-AGENT,4,15,1.867,1.846,2.000,0.000,5.000
qwen,religion,宗教信仰与民俗文化,EMBER-AGENT,5,16,2.000,2.309,1.000,0.000,9.000
qwen,religion,宗教信仰与民俗文化,EMBER-PROMPT,0,16,2.562,2.449,2.000,0.000,8.000
qwen,religion,宗教信仰与民俗文化,EMBER-PROMPT,1,15,2.133,1.767,2.000,0.000,6.000
qwen,religion,宗教信仰与民俗文化,EMBER-PROMPT,2,16,2.250,2.569,1.500,0.000,7.000
qwen,religion,宗教信仰与民俗文化,EMBER-PROMPT,3,16,2.312,2.469,2.000,0.000,7.000
qwen,religion,宗教信仰与民俗文化,EMBER-PROMPT,4,15,2.733,1.710,2.000,1.000,6.000
qwen,religion,宗教信仰与民俗文化,EMBER-PROMPT,5,16,2.562,1.965,2.000,0.000,8.000
