model,variant,round,bias_dimension,valid_rows,mean,std,median,min,max,nonzero_rate,severe_rate_ge3
qwen,EMBER-PROMPT,2,age,145,0.041,0.260,0,0,2,0.028,0.000
qwen,EMBER-PROMPT,2,religion,145,0.166,0.553,0,0,3,0.097,0.014
qwen,EMBER-PROMPT,2,disability,145,0.014,0.117,0,0,1,0.014,0.000
qwen,EMBER-PROMPT,3,political,149,1.369,1.029,2,0,3,0.718,0.128
qwen,EMBER-PROMPT,3,gender,149,0.275,0.591,0,0,3,0.208,0.007
qwen,EMBER-PROMPT,3,ethnic_cultural,149,0.262,0.574,0,0,3,0.201,0.007
qwen,EMBER-PROMPT,3,age,149,0.074,0.331,0,0,2,0.054,0.000
qwen,EMBER-PROMPT,3,religion,149,0.188,0.608,0,0,3,0.101,0.020
qwen,EMBER-PROMPT,3,disability,149,0.007,0.082,0,0,1,0.007,0.000
qwen,EMBER-PROMPT,4,political,146,1.418,1.049,1.500,0,3,0.747,0.171
qwen,EMBER-PROMPT,4,gender,146,0.267,0.567,0.000,0,3,0.212,0.007
qwen,EMBER-PROMPT,4,ethnic_cultural,146,0.288,0.587,0.000,0,2,0.219,0.000
qwen,EMBER-PROMPT,4,age,146,0.048,0.214,0.000,0,1,0.048,0.000
qwen,EMBER-PROMPT,4,religion,146,0.144,0.484,0.000,0,3,0.096,0.007
qwen,EMBER-PROMPT,4,disability,146,0.000,0.000,0.000,0,0,0.000,0.000
qwen,EMBER-PROMPT,5,political,145,1.297,1.042,1,0,3,0.710,0.145
qwen,EMBER-PROMPT,5,gender,145,0.207,0.539,0,0,3,0.152,0.007
qwen,EMBER-PROMPT,5,ethnic_cultural,145,0.241,0.544,0,0,2,0.186,0.000
qwen,EMBER-PROMPT,5,age,145,0.055,0.283,0,0,2,0.041,0.000
qwen,EMBER-PROMPT,5,religion,145,0.159,0.561,0,0,3,0.090,0.021
qwen,EMBER-PROMPT,5,disability,145,0.000,0.000,0,0,0,0.000,0.000
qwen,EMBER-AGENT,0,political,145,1.000,1.000,1,0,3,0.572,0.069
qwen,EMBER-AGENT,0,gender,145,0.103,0.404,0,0,2,0.069,0.000
qwen,EMBER-AGENT,0,ethnic_cultural,145,0.159,0.467,0,0,2,0.117,0.000
qwen,EMBER-AGENT,0,age,145,0.069,0.304,0,0,2,0.055,0.000
qwen,EMBER-AGENT,0,religion,145,0.186,0.601,0,0,3,0.097,0.014
qwen,EMBER-AGENT,0,disability,145,0.007,0.083,0,0,1,0.007,0.000
qwen,EMBER-AGENT,1,political,148,1.081,0.965,1.000,0,3,0.655,0.081
qwen,EMBER-AGENT,1,gender,148,0.122,0.367,0.000,0,2,0.108,0.000
qwen,EMBER-AGENT,1,ethnic_cultural,148,0.169,0.427,0.000,0,2,0.149,0.000
qwen,EMBER-AGENT,1,age,148,0.027,0.163,0.000,0,1,0.027,0.000
qwen,EMBER-AGENT,1,religion,148,0.169,0.527,0.000,0,3,0.108,0.007
qwen,EMBER-AGENT,1,disability,148,0.014,0.116,0.000,0,1,0.014,0.000
qwen,EMBER-AGENT,2,political,146,1.295,1.011,1.000,0,3,0.733,0.137
qwen,EMBER-AGENT,2,gender,146,0.164,0.499,0.000,0,3,0.116,0.007
qwen,EMBER-AGENT,2,ethnic_cultural,146,0.192,0.429,0.000,0,2,0.178,0.000
qwen,EMBER-AGENT,2,age,146,0.014,0.117,0.000,0,1,0.014,0.000
qwen,EMBER-AGENT,2,religion,146,0.240,0.657,0.000,0,3,0.137,0.021
qwen,EMBER-AGENT,2,disability,146,0.014,0.117,0.000,0,1,0.014,0.000
qwen,EMBER-AGENT,3,political,147,1.320,1.066,1,0,3,0.728,0.184
qwen,EMBER-AGENT,3,gender,147,0.109,0.373,0,0,2,0.088,0.000
qwen,EMBER-AGENT,3,ethnic_cultural,147,0.204,0.482,0,0,2,0.170,0.000
qwen,EMBER-AGENT,3,age,147,0.027,0.163,0,0,1,0.027,0.000
qwen,EMBER-AGENT,3,religion,147,0.177,0.570,0,0,3,0.102,0.014
qwen,EMBER-AGENT,3,disability,147,0.007,0.082,0,0,1,0.007,0.000
qwen,EMBER-AGENT,4,political,146,1.418,1.036,1.500,0,3,0.753,0.164
qwen,EMBER-AGENT,4,gender,146,0.192,0.516,0.000,0,3,0.144,0.007
qwen,EMBER-AGENT,4,ethnic_cultural,146,0.240,0.502,0.000,0,2,0.205,0.000
qwen,EMBER-AGENT,4,age,146,0.014,0.117,0.000,0,1,0.014,0.000
qwen,EMBER-AGENT,4,religion,146,0.185,0.575,0.000,0,3,0.116,0.021
qwen,EMBER-AGENT,4,disability,146,0.027,0.164,0.000,0,1,0.027,0.000
qwen,EMBER-AGENT,5,political,147,1.245,1.004,1,0,3,0.728,0.136
qwen,EMBER-AGENT,5,gender,147,0.136,0.463,0,0,2,0.088,0.000
qwen,EMBER-AGENT,5,ethnic_cultural,147,0.150,0.394,0,0,2,0.136,0.000
qwen,EMBER-AGENT,5,age,147,0.014,0.116,0,0,1,0.014,0.000
qwen,EMBER-AGENT,5,religion,147,0.177,0.616,0,0,3,0.088,0.027
qwen,EMBER-AGENT,5,disability,147,0.000,0.000,0,0,0,0.000,0.000
llama,BASE,0,political,149,1.221,1.083,1,0,3,0.631,0.128
llama,BASE,0,gender,149,0.336,0.750,0,0,3,0.201,0.034
llama,BASE,0,ethnic_cultural,149,0.275,0.656,0,0,3,0.174,0.013
llama,BASE,0,age,149,0.081,0.319,0,0,2,0.067,0.000
llama,BASE,0,religion,149,0.282,0.745,0,0,3,0.141,0.034
llama,BASE,0,disability,149,0.007,0.082,0,0,1,0.007,0.000
llama,BASE,1,political,147,1.014,1.073,1,0,3,0.544,0.109
llama,BASE,1,gender,147,0.286,0.630,0,0,3,0.197,0.007
llama,BASE,1,ethnic_cultural,147,0.327,0.643,0,0,3,0.238,0.007
llama,BASE,1,age,147,0.034,0.182,0,0,1,0.034,0.000
llama,BASE,1,religion,147,0.218,0.603,0,0,3,0.136,0.014
llama,BASE,1,disability,147,0.007,0.082,0,0,1,0.007,0.000
llama,BASE,2,political,150,1.033,0.993,1.000,0,3,0.620,0.093
llama,BASE,2,gender,150,0.320,0.659,0.000,0,3,0.227,0.013
llama,BASE,2,ethnic_cultural,150,0.387,0.693,0.000,0,3,0.287,0.020
llama,BASE,2,age,150,0.053,0.253,0.000,0,2,0.047,0.000
llama,BASE,2,religion,150,0.220,0.644,0.000,0,3,0.127,0.027
llama,BASE,2,disability,150,0.013,0.115,0.000,0,1,0.013,0.000
llama,BASE,3,political,148,1.182,1.082,1.000,0,3,0.642,0.149
llama,BASE,3,gender,148,0.277,0.678,0.000,0,3,0.176,0.027
llama,BASE,3,ethnic_cultural,148,0.345,0.614,0.000,0,2,0.270,0.000
llama,BASE,3,age,148,0.020,0.183,0.000,0,2,0.014,0.000
llama,BASE,3,religion,148,0.236,0.621,0.000,0,3,0.155,0.020
llama,BASE,3,disability,148,0.014,0.116,0.000,0,1,0.014,0.000
llama,BASE,4,political,148,0.973,1.036,1.000,0,3,0.574,0.122
llama,BASE,4,gender,148,0.243,0.645,0.000,0,3,0.155,0.027
llama,BASE,4,ethnic_cultural,148,0.304,0.646,0.000,0,3,0.216,0.014
llama,BASE,4,age,148,0.041,0.198,0.000,0,1,0.041,0.000
llama,BASE,4,religion,148,0.149,0.513,0.000,0,3,0.088,0.007
llama,BASE,4,disability,148,0.000,0.000,0.000,0,0,0.000,0.000
llama,BASE,5,political,149,0.973,1.071,1,0,3,0.537,0.121
llama,BASE,5,gender,149,0.268,0.664,0,0,3,0.174,0.027
llama,BASE,5,ethnic_cultural,149,0.295,0.598,0,0,3,0.228,0.007
llama,BASE,5,age,149,0.060,0.290,0,0,2,0.047,0.000
llama,BASE,5,religion,149,0.121,0.449,0,0,3,0.081,0.007
llama,BASE,5,disability,149,0.013,0.115,0,0,1,0.013,0.000
llama,EMBER-PROMPT,0,political,148,1.115,1.027,1.000,0,3,0.628,0.101
llama,EMBER-PROMPT,0,gender,148,0.277,0.698,0.000,0,3,0.169,0.034
llama,EMBER-PROMPT,0,ethnic_cultural,148,0.243,0.542,0.000,0,3,0.196,0.007
llama,EMBER-PROMPT,0,age,148,0.088,0.368,0.000,0,3,0.068,0.007
llama,EMBER-PROMPT,0,religion,148,0.209,0.662,0.000,0,3,0.101,0.027
llama,EMBER-PROMPT,0,disability,148,0.007,0.082,0.000,0,1,0.007,0.000
llama,EMBER-PROMPT,1,political,150,0.940,0.950,1.000,0,3,0.580,0.060
llama,EMBER-PROMPT,1,gender,150,0.187,0.454,0.000,0,2,0.160,0.000
llama,EMBER-PROMPT,1,ethnic_cultural,150,0.240,0.539,0.000,0,2,0.187,0.000
llama,EMBER-PROMPT,1,age,150,0.067,0.299,0.000,0,2,0.053,0.000
llama,EMBER-PROMPT,1,religion,150,0.160,0.544,0.000,0,3,0.093,0.013
llama,EMBER-PROMPT,1,disability,150,0.013,0.115,0.000,0,1,0.013,0.000
llama,EMBER-PROMPT,2,political,150,0.927,0.844,1.000,0,3,0.613,0.007
llama,EMBER-PROMPT,2,gender,150,0.267,0.598,0.000,0,3,0.200,0.013
llama,EMBER-PROMPT,2,ethnic_cultural,150,0.333,0.539,0.000,0,2,0.300,0.000
llama,EMBER-PROMPT,2,age,150,0.067,0.299,0.000,0,2,0.053,0.000
llama,EMBER-PROMPT,2,religion,150,0.147,0.439,0.000,0,2,0.113,0.000
llama,EMBER-PROMPT,2,disability,150,0.007,0.082,0.000,0,1,0.007,0.000
llama,EMBER-PROMPT,3,political,148,0.892,0.905,1.000,0,3,0.574,0.041
llama,EMBER-PROMPT,3,gender,148,0.209,0.538,0.000,0,3,0.162,0.014
llama,EMBER-PROMPT,3,ethnic_cultural,148,0.257,0.483,0.000,0,2,0.236,0.000
llama,EMBER-PROMPT,3,age,148,0.041,0.230,0.000,0,2,0.034,0.000
llama,EMBER-PROMPT,3,religion,148,0.108,0.406,0.000,0,2,0.074,0.000
llama,EMBER-PROMPT,3,disability,148,0.027,0.200,0.000,0,2,0.020,0.000
llama,EMBER-PROMPT,4,political,149,0.919,0.842,1,0,3,0.638,0.034
llama,EMBER-PROMPT,4,gender,149,0.208,0.523,0,0,3,0.161,0.007
llama,EMBER-PROMPT,4,ethnic_cultural,149,0.221,0.463,0,0,2,0.201,0.000
llama,EMBER-PROMPT,4,age,149,0.034,0.215,0,0,2,0.027,0.000
llama,EMBER-PROMPT,4,religion,149,0.141,0.558,0,0,3,0.074,0.027
llama,EMBER-PROMPT,4,disability,149,0.007,0.082,0,0,1,0.007,0.000
llama,EMBER-PROMPT,5,political,149,0.852,0.903,1,0,3,0.557,0.047
llama,EMBER-PROMPT,5,gender,149,0.208,0.497,0,0,3,0.174,0.007
llama,EMBER-PROMPT,5,ethnic_cultural,149,0.302,0.589,0,0,3,0.242,0.007
llama,EMBER-PROMPT,5,age,149,0.034,0.215,0,0,2,0.027,0.000
llama,EMBER-PROMPT,5,religion,149,0.134,0.488,0,0,3,0.087,0.013
llama,EMBER-PROMPT,5,disability,149,0.007,0.082,0,0,1,0.007,0.000
llama,EMBER-AGENT,0,political,149,1.094,1.009,1,0,3,0.617,0.081
llama,EMBER-AGENT,0,gender,149,0.248,0.636,0,0,3,0.161,0.020
llama,EMBER-AGENT,0,ethnic_cultural,149,0.242,0.541,0,0,2,0.188,0.000
llama,EMBER-AGENT,0,age,149,0.047,0.242,0,0,2,0.040,0.000
llama,EMBER-AGENT,0,religion,149,0.262,0.730,0,0,3,0.134,0.040
llama,EMBER-AGENT,0,disability,149,0.000,0.000,0,0,0,0.000,0.000
llama,EMBER-AGENT,1,political,149,0.899,0.978,1,0,3,0.537,0.067
llama,EMBER-AGENT,1,gender,149,0.181,0.494,0,0,2,0.134,0.000
llama,EMBER-AGENT,1,ethnic_cultural,149,0.309,0.556,0,0,2,0.262,0.000
llama,EMBER-AGENT,1,age,149,0.047,0.212,0,0,1,0.047,0.000
llama,EMBER-AGENT,1,religion,149,0.128,0.483,0,0,3,0.074,0.007
llama,EMBER-AGENT,1,disability,149,0.020,0.183,0,0,2,0.013,0.000
llama,EMBER-AGENT,2,political,147,0.905,0.953,1,0,3,0.551,0.054
llama,EMBER-AGENT,2,gender,147,0.197,0.492,0,0,2,0.156,0.000
llama,EMBER-AGENT,2,ethnic_cultural,147,0.238,0.501,0,0,2,0.204,0.000
llama,EMBER-AGENT,2,age,147,0.014,0.165,0,0,2,0.007,0.000
llama,EMBER-AGENT,2,religion,147,0.136,0.477,0,0,3,0.088,0.007
llama,EMBER-AGENT,2,disability,147,0.000,0.000,0,0,0,0.000,0.000
llama,EMBER-AGENT,3,political,148,0.980,0.986,1.000,0,3,0.588,0.081
llama,EMBER-AGENT,3,gender,148,0.203,0.547,0.000,0,2,0.135,0.000
llama,EMBER-AGENT,3,ethnic_cultural,148,0.203,0.436,0.000,0,2,0.189,0.000
llama,EMBER-AGENT,3,age,148,0.061,0.291,0.000,0,2,0.047,0.000
llama,EMBER-AGENT,3,religion,148,0.081,0.320,0.000,0,2,0.068,0.000
llama,EMBER-AGENT,3,disability,148,0.014,0.164,0.000,0,2,0.007,0.000
llama,EMBER-AGENT,4,political,149,1.054,0.985,1,0,3,0.631,0.087
llama,EMBER-AGENT,4,gender,149,0.168,0.499,0,0,3,0.121,0.007
llama,EMBER-AGENT,4,ethnic_cultural,149,0.255,0.522,0,0,3,0.221,0.007
llama,EMBER-AGENT,4,age,149,0.040,0.257,0,0,2,0.027,0.000
llama,EMBER-AGENT,4,religion,149,0.067,0.322,0,0,2,0.047,0.000
llama,EMBER-AGENT,4,disability,149,0.007,0.082,0,0,1,0.007,0.000
llama,EMBER-AGENT,5,political,149,1.074,0.973,1,0,3,0.638,0.074
llama,EMBER-AGENT,5,gender,149,0.215,0.576,0,0,3,0.148,0.013
llama,EMBER-AGENT,5,ethnic_cultural,149,0.195,0.460,0,0,2,0.168,0.000
llama,EMBER-AGENT,5,age,149,0.040,0.197,0,0,1,0.040,0.000
llama,EMBER-AGENT,5,religion,149,0.081,0.339,0,0,3,0.067,0.007
llama,EMBER-AGENT,5,disability,149,0.007,0.082,0,0,1,0.007,0.000
